"","entry","module","genes","pathway","module_info","pathway_info"
"17","mmu:14433","mmu_M00001, mmu_M00002, mmu_M00003","Gapdh, Ga, Gapd","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"18","mmu:115487111","mmu_M00001, mmu_M00002, mmu_M00003","Gm29667","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"19","mmu:18655","mmu_M00001, mmu_M00002, mmu_M00003","Pgk1, Pgk-, Pgk-1","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"20","mmu:18663","mmu_M00001, mmu_M00002, mmu_M00003","Pgk2, Pgk-, Pgk-2, Tcp-, Tcp-2","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"21","mmu:18648","mmu_M00001, mmu_M00002, mmu_M00003","Pgam1, 2310050F24Rik, Pgam, Pgam-1","mmu00010, mmu00260","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism"
"22","mmu:56012","mmu_M00001, mmu_M00002, mmu_M00003","Pgam2","mmu00010, mmu00260","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism"
"23","mmu:13806","mmu_M00001, mmu_M00002, mmu_M00003","Eno1, 0610008I15, AL022784, Eno, Eno-1, MBP-, MBP-1","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"24","mmu:13807","mmu_M00001, mmu_M00002, mmu_M00003","Eno2, AI837106, D6Ertd375, D6Ertd375e, Eno, Eno-2, N, NSE","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"25","mmu:13808","mmu_M00001, mmu_M00002, mmu_M00003","Eno3, Eno, Eno-3, MSE","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"26","mmu:433182","mmu_M00001, mmu_M00002, mmu_M00003","Eno1b, EG433182, Eno-1, Eno1, Gm5506, NNE","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"27","mmu:226265","mmu_M00001, mmu_M00002, mmu_M00003","Eno4, 6430537H07Rik","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis"
"28","mmu:18746","mmu_M00001, mmu_M00002, mmu_M00049, mmu_M00050","Pkm, AA414905, AL024370, AL024424, Pk, Pk-, Pk-2, Pk-3, Pk3, Pkm2","mmu00010, mmu00230, mmu00620","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Adenine ribonucleotide biosynthesis, IMP => ADP,ATP, Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism"
"29","mmu:18770","mmu_M00001, mmu_M00002, mmu_M00049, mmu_M00050","Pklr, Pk, Pk-, Pk-1, Pk1, R-, R-PK","mmu00010, mmu00230, mmu00620","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Adenine ribonucleotide biosynthesis, IMP => ADP,ATP, Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism"
"30","mmu:18534","mmu_M00003","Pck1, AI265463, PEP, PEPCK, PEPCK-C, Pck-, Pck-1","mmu00010, mmu00020, mmu00620","Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism"
"31","mmu:74551","mmu_M00003","Pck2, 1810010O14Rik, 9130022B02Rik, PEPCK-M","mmu00010, mmu00020, mmu00620","Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism"
"32","mmu:14121","mmu_M00003","Fbp1, Fbp, Fbp-, Fbp-2, Fbp2, Fbp3","mmu00010, mmu00030, mmu00051","Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"33","mmu:14120","mmu_M00003","Fbp2, Fbp-, Fbp-1, Fbp1, Rae-30","mmu00010, mmu00030, mmu00051","Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"34","mmu:100198","mmu_M00004, mmu_M00006","H6pd, AI785303, G6pd, G6pd1, Gpd, Gpd-, Gpd-1, Gpd1","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pentose phosphate pathway"
"35","mmu:14380","mmu_M00004, mmu_M00006","G6pd2, G6pdx-, G6pdx-ps1, Gpd, Gpd-, Gpd-2, Gpd2","mmu00030, mmu00480","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pentose phosphate pathway, Glutathione metabolism"
"36","mmu:14381","mmu_M00004, mmu_M00006","G6pdx, G28, G28A, G6p, G6pd, Gpd, Gpdx","mmu00030, mmu00480","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pentose phosphate pathway, Glutathione metabolism"
"37","mmu:66171","mmu_M00004, mmu_M00006","Pgls, 1110030K05Rik, AI447866, Plgs","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pentose phosphate pathway"
"38","mmu:110208","mmu_M00004, mmu_M00006","Pgd, 0610042A05Rik, AU019875, C78335","mmu00030, mmu00480","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pentose phosphate pathway, Glutathione metabolism"
"39","mmu:66646","mmu_M00004, mmu_M00007","Rpe, 2810429B02Rik, 5730518J08Rik","mmu00030, mmu00040","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway, Pentose and glucuronate interconversions"
"40","mmu:19895","mmu_M00004, mmu_M00007","Rpia, RPI","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway"
"41","mmu:21881","mmu_M00004, mmu_M00007","Tkt, p6, p68","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway"
"42","mmu:83553","mmu_M00004, mmu_M00007","Tktl1, C79967","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway"
"43","mmu:74419","mmu_M00004, mmu_M00007","Tktl2, 4933401I19Rik","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway"
"44","mmu:21351","mmu_M00004, mmu_M00007","Taldo1","mmu00030","Pentose phosphate pathway (Pentose phosphate cycle), Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pentose phosphate pathway"
"45","mmu:19139","mmu_M00005","Prps1, 2310010D17Rik, C76571, C76678, PRS-I, Pr, Prps-1","mmu00030, mmu00230","PRPP biosynthesis, ribose 5P => PRPP","Pentose phosphate pathway, Purine metabolism"
"46","mmu:110639","mmu_M00005","Prps2, 2610101M19Rik, AA589463, AI464149, Pr, Prps-2","mmu00030, mmu00230","PRPP biosynthesis, ribose 5P => PRPP","Pentose phosphate pathway, Purine metabolism"
"47","mmu:328099","mmu_M00005","Prps1l3, AU021838, AW536152, Gm5081","mmu00030, mmu00230","PRPP biosynthesis, ribose 5P => PRPP","Pentose phosphate pathway, Purine metabolism"
"48","mmu:75456","mmu_M00005","Prps1l1, 1700011K15Rik","mmu00030, mmu00230","PRPP biosynthesis, ribose 5P => PRPP","Pentose phosphate pathway, Purine metabolism"
"49","mmu:12974","mmu_M00009, mmu_M00010","Cs, 2610511A05Rik, 9030605P22Rik, Ahl4, BB234005, C, Cis, ah","mmu00020, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism"
"50","mmu:71832","mmu_M00009, mmu_M00010","Csl, 1700007H16Rik","mmu00020, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism"
"51","mmu:11429","mmu_M00009, mmu_M00010","Aco2, Ac, Aco, Aco-2, Aco3, D10Wsu183, D10Wsu183e","mmu00020, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism"
"52","mmu:11428","mmu_M00009, mmu_M00010","Aco1, Aco, Aco-1, I, Ir, Irebp, Irp1","mmu00020, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism"
"53","mmu:15926","mmu_M00009, mmu_M00010","Idh1, AI314845, AI788952, E030024J03Rik, ID, Id-, Id-1, Idh-, Idh-1, Idpc","mmu00020, mmu00480","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glutathione metabolism"
"54","mmu:269951","mmu_M00009, mmu_M00010","Idh2, E430004F23, ID, IDPm, Idh-, Idh-2","mmu00020, mmu00480","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle), Glutathione metabolism"
"55","mmu:15929","mmu_M00009, mmu_M00010","Idh3g","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle)"
"56","mmu:67834","mmu_M00009, mmu_M00010","Idh3a, 1110003P10Rik, 1500012E04Rik, AA407078, AI316514","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle)"
"57","mmu:170718","mmu_M00009, mmu_M00010","Idh3b, C78231","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle)"
"58","mmu:243996","mmu_M00009, mmu_M00010","4933405O20Rik","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Citrate cycle (TCA cycle)"
"59","mmu:18293","mmu_M00009, mmu_M00011","Ogdh, 2210403E04Rik, 2210412K19Rik, AA409584, d1401, mKIAA4192","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle)"
"60","mmu:239017","mmu_M00009, mmu_M00011","Ogdhl","mmu00020","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle)"
"61","mmu:78920","mmu_M00009, mmu_M00011, mmu_M00032","Dlst, 1600017E01Rik, 4632413C10Rik, 4930529O08Rik, DLTS","mmu00020, mmu00310, mmu00380","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate, Lysine degradation, lysine => saccharopine => acetoacetyl-CoA","Citrate cycle (TCA cycle), Lysine degradation, Tryptophan metabolism"
"62","mmu:13382","mmu_M00009, mmu_M00011, mmu_M00032, mmu_M00036, mmu_M00307","Dld","mmu00010, mmu00020, mmu00260, mmu00280, mmu00310, mmu00380, mmu00620, mmu00630, mmu00640","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate, Lysine degradation, lysine => saccharopine => acetoacetyl-CoA, Leucine degradation, leucine => acetoacetate + acetyl-CoA, Pyruvate oxidation, pyruvate => acetyl-CoA","Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Glycine, serine and threonine metabolism, Valine, leucine and isoleucine degradation, Lysine degradation, Tryptophan metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism"
"63","mmu:56451","mmu_M00009, mmu_M00011","Suclg1, 1500000I01Rik, Suc, Sucla1","mmu00020, mmu00640","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Propanoate metabolism"
"64","mmu:20917","mmu_M00009, mmu_M00011","Suclg2, AF171077, AW556404, D6Wsu120, D6Wsu120e, G-SCS, GTPSCS, SCS-betaG","mmu00020, mmu00640","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Propanoate metabolism"
"65","mmu:20916","mmu_M00009, mmu_M00011","Sucla2, 4930547K18Rik, A-SCS, SCS-betaA","mmu00020, mmu00640","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Propanoate metabolism"
"66","mmu:66945","mmu_M00009, mmu_M00011","Sdha, 1500032O14Rik, 2310034D06Rik, 4921513A11, C81073, F, FP, SDH, SDH2, SDHF","mmu00020, mmu00190","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Oxidative phosphorylation"
"67","mmu:67680","mmu_M00009, mmu_M00011","Sdhb, 0710008N11Rik","mmu00020, mmu00190","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Oxidative phosphorylation"
"68","mmu:66052","mmu_M00009, mmu_M00011","Sdhc, 0610010E03Rik, AI316496, AU019277","mmu00020, mmu00190","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Oxidative phosphorylation"
"69","mmu:66925","mmu_M00009, mmu_M00011","Sdhd, 3110001M13Rik, AVLL5809, C78570, PRO19626","mmu00020, mmu00190","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Oxidative phosphorylation"
"70","mmu:14194","mmu_M00009, mmu_M00011","Fh1, Fh, Fh-1, fuma","mmu00020, mmu00620","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Pyruvate metabolism"
"71","mmu:17448","mmu_M00009, mmu_M00011","Mdh2, MDH, Mdh-2, Mo, Mor, Mor-1, Mor1","mmu00020, mmu00270, mmu00620, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism"
"72","mmu:17449","mmu_M00009, mmu_M00011","Mdh1, B230377B03Rik, D17921, MDH-, MDH-s, MDHA, Mo, Mor, Mor-2, Mor2","mmu00020, mmu00270, mmu00620, mmu00630","Citrate cycle (TCA cycle, Krebs cycle), Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism"
"73","mmu:22235","mmu_M00014, mmu_M00129","Ugdh, Udpgd, Udpgdh","mmu00040, mmu00053, mmu00520","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism"
"74","mmu:22238","mmu_M00014, mmu_M00129","Ugt2b5, AI118071, M-1, Udpgt-, Udpgt-3, Udpgt2b5, Ugt2b17","mmu00040, mmu00053, mmu00140, mmu00830, mmu00860, mmu00980, mmu00982, mmu00983","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Steroid hormone biosynthesis, Retinol metabolism, Porphyrin and chlorophyll metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes"
"75","mmu:22236","mmu_M00014, mmu_M00129","Ugt1a2, UDPGT_1-2, Ugt1","mmu00040, mmu00053, mmu00140, mmu00830, mmu00860, mmu00980, mmu00982, mmu00983","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Steroid hormone biosynthesis, Retinol metabolism, Porphyrin and chlorophyll metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes"
"76","mmu:94284","mmu_M00014, mmu_M00129","Ugt1a6a, UDPGT, UDPGT_1-6, UGT1-06, UGT1.6, Ugt1a, Ugt1a6, Ugt1a7","mmu00040, mmu00053, mmu00140, mmu00830, mmu00860, mmu00980, mmu00982, mmu00983","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Steroid hormone biosynthesis, Retinol metabolism, Porphyrin and chlorophyll metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes"
"77","mmu:94215","mmu_M00014, mmu_M00129","Ugt2a1","mmu00040, mmu00053, mmu00140, mmu00830, mmu00860, mmu00980, mmu00982, mmu00983","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Steroid hormone biosynthesis, Retinol metabolism, Porphyrin and chlorophyll metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes"
"78","mmu:394434","mmu_M00014, mmu_M00129","Ugt1a9, A1, UDPGT, UDPGT_1-9, UGT1-09, UGT1.9, UGTP4, Ugt1a12, mUGTBr, mUGTBr/P","mmu00040, mmu00053, mmu00140, mmu00830, mmu00860, mmu00980, mmu00982, mmu00983","Glucuronate pathway (uronate pathway), Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Steroid hormone biosynthesis, Retinol metabolism, Porphyrin and chlorophyll metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes"
